value,years,place,lat,lon
335,3,Trinity Christian College,41.669189,-87.784157
336,3,Trinity International University-Illinois,42.197909,-87.882722
337,3,Western Illinois University,40.465621,-90.685235
338,3,Wheaton College,41.870943,-88.09681
339,3,Anderson University,40.112167,-85.662292
340,3,Ball State University,40.198942,-85.408863
341,3,Bethel College-Indiana,41.677671,-86.191642
342,3,Butler University,39.840662,-86.171791
343,3,Calumet College of Saint Joseph,41.670925,-87.492987
344,3,DePauw University,39.63953,-86.863556
345,3,Earlham College,39.822278,-84.911464
346,3,University of Evansville,37.969955,-87.531963
347,3,Franklin College,39.478298,-86.047182
348,3,Goshen College,41.564254,-85.826766
349,3,Grace College and Theological Seminary,41.226473,-85.813931
350,3,Hanover College,38.712488,-85.461086
351,3,Holy Cross College,41.699982,-86.253668
352,3,Huntington University,40.89907,-85.499624
353,3,Indiana University-Purdue University-Fort Wayne,41.115418,-85.111747
354,3,Indiana University-Purdue University-Indianapolis,39.772948,-86.172217
355,3,University of Indianapolis,39.709671,-86.134747
356,3,University of Southern Indiana,37.966188,-87.67666
357,3,Indiana State University,39.46873,-87.407085
358,3,Indiana University-Kokomo,40.459913,-86.132096
359,3,Indiana University-South Bend,41.665746,-86.222958
360,3,Indiana University-Bloomington,39.166383,-86.526904
361,3,Indiana University-Northwest,41.556723,-87.338457
362,3,Indiana University-Southeast,38.342992,-85.819376
363,3,Indiana University-East,39.867099,-84.886187
364,3,Manchester University,41.011609,-85.758762
365,3,Marian University,39.81534,-86.204599
366,3,Indiana Wesleyan University,40.518495,-85.661991
367,3,Martin University,39.79844,-86.104771
368,3,University of Notre Dame,41.703058,-86.238959
369,3,Oakland City University,38.339606,-87.351611
370,3,Purdue University-Calumet Campus,41.584742,-87.47376
371,3,Purdue University-North Central Campus,41.583788,-86.89523
372,3,University of Saint Francis-Fort Wayne,41.087772,-85.173694
373,3,Saint Josephs College,40.923438,-87.155541
374,3,Saint Mary-of-the-Woods College,39.510543,-87.460126
375,3,Saint Mary's College,41.707274,-86.256947
376,3,Taylor University,40.458382,-85.496906
377,3,Trine University,41.633389,-85.005696
378,3,Valparaiso University,41.463176,-87.045853
379,3,Wabash College,40.037799,-86.905809
380,3,Briar Cliff University,42.526919,-96.42696
381,3,Buena Vista University,42.642529,-95.208053
382,3,Central College,41.400236,-92.918664
383,3,Clarke University,42.508619,-90.691512
384,3,Coe College,41.986383,-91.657535
385,3,Cornell College,41.925982,-91.425435
386,3,Dordt College,43.08396,-96.166319
387,3,Drake University,41.60381,-93.654062
388,3,University of Dubuque,42.498027,-90.693568
389,3,Graceland University-Lamoni,40.615966,-93.924893
390,3,Grand View University,41.620909,-93.605016
391,3,Grinnell College,41.747048,-92.721246
392,3,Iowa State University,42.026368,-93.648353
393,3,Iowa Wesleyan College,40.973689,-91.552588
394,3,University of Iowa,41.660695,-91.535698
395,3,Loras College,42.504131,-90.680232
396,3,Luther College,43.313584,-91.803971
397,3,Maharishi University of Management,41.017781,-91.967306
